name,parent
Colombia,null
Antioquia,Colombia
Bogotá,Colombia
Caldas,Colombia
Cauca,Colombia
Huila,Colombia
Quindío,Colombia
Risaralda,Colombia
Santander,Colombia
Tolima,Colombia
Valle del Cauca,Colombia
Alemania,Antioquia
Antigua y Barbuda,Antioquia
Antillas Holandesas,Antioquia
Arabia Saudita,Antioquia
Argentina,Antioquia
Aruba,Antioquia
Australia,Antioquia
Austria,Antioquia
Bahrein,Antioquia
Barbados,Antioquia
Bélgica,Antioquia
Belice,Antioquia
Bolivia,Antioquia
Brasil,Antioquia
Bulgaria,Antioquia
Caimán- Islas,Antioquia
Canadá,Antioquia
Chile,Antioquia
China,Antioquia
Corea,Antioquia
Costa de Marfil,Antioquia
Costa Rica,Antioquia
Croacia,Antioquia
Cuba,Antioquia
Curazao,Antioquia
Dinamarca,Antioquia
Dominica,Antioquia
Ecuador,Antioquia
Egipto,Antioquia
El Salvador,Antioquia
Emiratos Árabes Unidos,Antioquia
Eslovenia,Antioquia
España,Antioquia
Estados Unidos,Antioquia
Estonia,Antioquia
Filipinas,Antioquia
Finlandia,Antioquia
Francia,Antioquia
Georgia,Antioquia
Gibraltar,Antioquia
Granada,Antioquia
Grecia,Antioquia
Guatemala,Antioquia
Guyana,Antioquia
Haití,Antioquia
Honduras,Antioquia
Hong Kong,Antioquia
India,Antioquia
Indonesia,Antioquia
Irak,Antioquia
Irán- República Islámica de,Antioquia
Irlanda,Antioquia
Islandia,Antioquia
Israel,Antioquia
Italia,Antioquia
Japón,Antioquia
Jordania,Antioquia
Kuwait,Antioquia
Letonia,Antioquia
Líbano,Antioquia
Libia,Antioquia
Lituania,Antioquia
Macao,Antioquia
Malasia,Antioquia
Malta,Antioquia
Marruecos,Antioquia
México,Antioquia
Nicaragua,Antioquia
Nigeria,Antioquia
Norfolk- Islas,Antioquia
Noruega,Antioquia
Nueva Zelandia,Antioquia
Países Bajos,Antioquia
Panamá,Antioquia
Paraguay,Antioquia
Perú,Antioquia
Polonia,Antioquia
Portugal,Antioquia
Puerto Rico,Antioquia
Reino Unido,Antioquia
República Checa,Antioquia
República Dominicana,Antioquia
Rumania,Antioquia
Rusia- Federación de,Antioquia
San Cristóbal y Nieves,Antioquia
San Vicente y las Granadinas,Antioquia
Santa Lucia,Antioquia
Singapur,Antioquia
Siria- República Árabe,Antioquia
Sudáfrica,Antioquia
Suecia,Antioquia
Suiza,Antioquia
Surinam,Antioquia
Tailandia,Antioquia
Taiwán- Provincia de China,Antioquia
Territorio Británico del Océano indico,Antioquia
Trinidad y Tobago,Antioquia
Turquía,Antioquia
Ucrania,Antioquia
Uruguay,Antioquia
Venezuela,Antioquia
Alemania,Bogotá
Antillas Holandesas,Bogotá
Arabia Saudita,Bogotá
Argentina,Bogotá
Aruba,Bogotá
Australia,Bogotá
Austria,Bogotá
Bélgica,Bogotá
Bolivia,Bogotá
Bonaire- San Eustatios y Saba,Bogotá
Brasil,Bogotá
Bulgaria,Bogotá
Canadá,Bogotá
Chile,Bogotá
China,Bogotá
Chipre,Bogotá
Corea,Bogotá
Costa Rica,Bogotá
Curazao,Bogotá
Dinamarca,Bogotá
Ecuador,Bogotá
Egipto,Bogotá
El Salvador,Bogotá
Emiratos Árabes Unidos,Bogotá
Eslovaquia,Bogotá
Eslovenia,Bogotá
España,Bogotá
Estados Unidos,Bogotá
Estonia,Bogotá
Finlandia,Bogotá
Francia,Bogotá
Georgia,Bogotá
Grecia,Bogotá
Guatemala,Bogotá
Honduras,Bogotá
Hong Kong,Bogotá
Irak,Bogotá
Irán- República Islámica de,Bogotá
Irlanda,Bogotá
Islandia,Bogotá
Israel,Bogotá
Italia,Bogotá
Jamaica,Bogotá
Japón,Bogotá
Jordania,Bogotá
Kuwait,Bogotá
Líbano,Bogotá
Liberia,Bogotá
Malasia,Bogotá
Marruecos,Bogotá
Martinica,Bogotá
México,Bogotá
Montserrat,Bogotá
Nicaragua,Bogotá
Noruega,Bogotá
Nueva Zelandia,Bogotá
Países Bajos,Bogotá
Países no precisados en otra parte y desconocidos,Bogotá
Panamá,Bogotá
Paraguay,Bogotá
Perú,Bogotá
Polinesia Francesa,Bogotá
Polonia,Bogotá
Portugal,Bogotá
Puerto Rico,Bogotá
Reino Unido,Bogotá
República Checa,Bogotá
República Dominicana,Bogotá
Rumania,Bogotá
Rusia- Federación de,Bogotá
Singapur,Bogotá
Siria- República Árabe,Bogotá
Sudáfrica,Bogotá
Suecia,Bogotá
Suiza,Bogotá
Tailandia,Bogotá
Taiwán- Provincia de China,Bogotá
Trinidad y Tobago,Bogotá
Turquía,Bogotá
Ucrania,Bogotá
Uruguay,Bogotá
Venezuela,Bogotá
Albania,Caldas
Alemania,Caldas
Antigua y Barbuda,Caldas
Arabia Saudita,Caldas
Argelia,Caldas
Argentina,Caldas
Armenia,Caldas
Aruba,Caldas
Australia,Caldas
Austria,Caldas
Bélgica,Caldas
Belice,Caldas
Brasil,Caldas
Bulgaria,Caldas
Canadá,Caldas
Chile,Caldas
China,Caldas
