name,parent
Café sin tostar- sin descafeinar- para la siembra,Valle del Cauca
Café soluble liofilizado- con granulometría de 20 - 300 mm,Valle del Cauca
Café tostado- descafeinado,Valle del Cauca
Café tostado- sin descafeinar- en grano,Valle del Cauca
Café tostado- sin descafeinar- molido,Valle del Cauca
Cáscara y cascarilla de café- sucedáneos del café que contengan café en cualquier proporción,Valle del Cauca
Extractos- esencias y concentrados de café,Valle del Cauca
Los demás cafés sin tostar- sin descafeinar,Valle del Cauca
Los demás extractos- esencias y concentrados de café,Valle del Cauca
Preparaciones a base de extractos- esencias o concentrados o a base de café,Valle del Cauca
Alemania, Café soluble liofilizado- con granulometría de 20 - 300 mm
Alemania, Café tostado- sin descafeinar- en grano
Alemania, Extractos- esencias y concentrados de café
Alemania, Los demás cafés sin tostar- sin descafeinar
Alemania, Los demás extractos- esencias y concentrados de café
Alemania, Preparaciones a base de extractos- esencias o concentrados o a base de café
Antigua y Barbuda, Café tostado- sin descafeinar- molido
Antigua y Barbuda, Extractos- esencias y concentrados de café
Antigua y Barbuda, Los demás extractos- esencias y concentrados de café
Antigua y Barbuda, Preparaciones a base de extractos- esencias o concentrados o a base de café
Antillas Holandesas, Café sin tostar- descafeinado
Antillas Holandesas, Café soluble liofilizado- con granulometría de 20 - 300 mm
Antillas Holandesas, Café tostado- sin descafeinar- molido
Antillas Holandesas, Extractos- esencias y concentrados de café
Antillas Holandesas, Los demás extractos- esencias y concentrados de café
Antillas Holandesas, Preparaciones a base de extractos- esencias o concentrados o a base de café
Arabia Saudita, Los demás cafés sin tostar- sin descafeinar
Argentina, Café tostado- sin descafeinar- en grano
Argentina, Los demás cafés sin tostar- sin descafeinar
Argentina, Los demás extractos- esencias y concentrados de café
Argentina, Preparaciones a base de extractos- esencias o concentrados o a base de café
Aruba, Café tostado- sin descafeinar- en grano
Aruba, Café tostado- sin descafeinar- molido
Aruba, Extractos- esencias y concentrados de café
Aruba, Los demás extractos- esencias y concentrados de café
Aruba, Preparaciones a base de extractos- esencias o concentrados o a base de café
Australia, Café sin tostar- descafeinado
Australia, Café sin tostar- sin descafeinar- para la siembra
Australia, Café soluble liofilizado- con granulometría de 20 - 300 mm
Australia, Café tostado- sin descafeinar- en grano
Australia, Café tostado- sin descafeinar- molido
Australia, Extractos- esencias y concentrados de café
Australia, Los demás cafés sin tostar- sin descafeinar
Australia, Los demás extractos- esencias y concentrados de café
Austria, Café tostado- sin descafeinar- en grano
Austria, Café tostado- sin descafeinar- molido
Austria, Los demás cafés sin tostar- sin descafeinar
Bahrein, Café tostado- sin descafeinar- en grano
Bahrein, Café tostado- sin descafeinar- molido
Barbados, Café soluble liofilizado- con granulometría de 20 - 300 mm
Barbados, Café tostado- sin descafeinar- molido
Barbados, Extractos- esencias y concentrados de café
Barbados, Los demás extractos- esencias y concentrados de café
Barbados, Preparaciones a base de extractos- esencias o concentrados o a base de café
Bélgica, Café soluble liofilizado- con granulometría de 20 - 300 mm
Bélgica, Extractos- esencias y concentrados de café
Bélgica, Los demás cafés sin tostar- sin descafeinar
Bélgica, Los demás extractos- esencias y concentrados de café
Belice, Los demás extractos- esencias y concentrados de café
Belice, Preparaciones a base de extractos- esencias o concentrados o a base de café
Bolivia, Café sin tostar- descafeinado
Bolivia, Café soluble liofilizado- con granulometría de 20 - 300 mm
Bolivia, Café tostado- sin descafeinar- molido
Bolivia, Extractos- esencias y concentrados de café
Bolivia, Los demás extractos- esencias y concentrados de café
Bolivia, Preparaciones a base de extractos- esencias o concentrados o a base de café
Brasil, Café tostado- sin descafeinar- en grano
Brasil, Café tostado- sin descafeinar- molido
Brasil, Los demás extractos- esencias y concentrados de café
Brasil, Preparaciones a base de extractos- esencias o concentrados o a base de café
Bulgaria, Los demás cafés sin tostar- sin descafeinar
Caimán- Islas, Los demás extractos- esencias y concentrados de café
Canadá, Café sin tostar- descafeinado
Canadá, Café sin tostar- sin descafeinar- para la siembra
Canadá, Café tostado- sin descafeinar- en grano
Canadá, Café tostado- sin descafeinar- molido
Canadá, Cáscara y cascarilla de café- sucedáneos del café que contengan café en cualquier proporción
Canadá, Extractos- esencias y concentrados de café
Canadá, Los demás cafés sin tostar- sin descafeinar
Canadá, Los demás extractos- esencias y concentrados de café
Canadá, Preparaciones a base de extractos- esencias o concentrados o a base de café
Chile, Café sin tostar- descafeinado
Chile, Café soluble liofilizado- con granulometría de 20 - 300 mm
Chile, Café tostado- descafeinado
Chile, Café tostado- sin descafeinar- en grano
Chile, Café tostado- sin descafeinar- molido
Chile, Extractos- esencias y concentrados de café
Chile, Los demás cafés sin tostar- sin descafeinar
Chile, Los demás extractos- esencias y concentrados de café
Chile, Preparaciones a base de extractos- esencias o concentrados o a base de café
China, Café soluble liofilizado- con granulometría de 20 - 300 mm
China, Café tostado- sin descafeinar- en grano
China, Extractos- esencias y concentrados de café
China, Los demás cafés sin tostar- sin descafeinar
China, Los demás extractos- esencias y concentrados de café
China, Preparaciones a base de extractos- esencias o concentrados o a base de café
Colombia, Café tostado- sin descafeinar- en grano
Colombia, Café tostado- sin descafeinar- molido
Corea, Café sin tostar- sin descafeinar- para la siembra
Corea, Café soluble liofilizado- con granulometría de 20 - 300 mm
Corea, Café tostado- sin descafeinar- molido
Corea, Extractos- esencias y concentrados de café
Corea, Los demás cafés sin tostar- sin descafeinar
Corea, Los demás extractos- esencias y concentrados de café
Costa de Marfil, Extractos- esencias y concentrados de café
Costa Rica, Café tostado- sin descafeinar- molido
Costa Rica, Extractos- esencias y concentrados de café
Costa Rica, Los demás extractos- esencias y concentrados de café
Costa Rica, Preparaciones a base de extractos- esencias o concentrados o a base de café
Croacia, Los demás cafés sin tostar- sin descafeinar
Cuba, Café soluble liofilizado- con granulometría de 20 - 300 mm
Cuba, Café tostado- descafeinado
Cuba, Café tostado- sin descafeinar- en grano
Cuba, Café tostado- sin descafeinar- molido
Cuba, Extractos- esencias y concentrados de café
Cuba, Los demás extractos- esencias y concentrados de café
Cuba, Preparaciones a base de extractos- esencias o concentrados o a base de café
Curazao, Café tostado- sin descafeinar- molido
Curazao, Cáscara y cascarilla de café- sucedáneos del café que contengan café en cualquier proporción
Curazao, Los demás extractos- esencias y concentrados de café
Curazao, Preparaciones a base de extractos- esencias o concentrados o a base de café
Dinamarca, Café soluble liofilizado- con granulometría de 20 - 300 mm
Dinamarca, Café tostado- sin descafeinar- en grano
Dinamarca, Extractos- esencias y concentrados de café
Dinamarca, Los demás cafés sin tostar- sin descafeinar
Dinamarca, Los demás extractos- esencias y concentrados de café
Dominica, Café tostado- sin descafeinar- en grano
Dominica, Café tostado- sin descafeinar- molido
Dominica, Extractos- esencias y concentrados de café
Dominica, Los demás extractos- esencias y concentrados de café
Dominica, Preparaciones a base de extractos- esencias o concentrados o a base de café
Ecuador, Café soluble liofilizado- con granulometría de 20 - 300 mm
Ecuador, Café tostado- descafeinado
Ecuador, Café tostado- sin descafeinar- molido
Ecuador, Extractos- esencias y concentrados de café
Ecuador, Los demás extractos- esencias y concentrados de café
Ecuador, Preparaciones a base de extractos- esencias o concentrados o a base de café
Egipto, Los demás cafés sin tostar- sin descafeinar
El Salvador, Café soluble liofilizado- con granulometría de 20 - 300 mm
El Salvador, Café tostado- sin descafeinar- molido
El Salvador, Los demás extractos- esencias y concentrados de café
El Salvador, Preparaciones a base de extractos- esencias o concentrados o a base de café
Emiratos Árabes Unidos, Café tostado- sin descafeinar- en grano
Emiratos Árabes Unidos, Café tostado- sin descafeinar- molido
Emiratos Árabes Unidos, Los demás cafés sin tostar- sin descafeinar
Emiratos Árabes Unidos, Los demás extractos- esencias y concentrados de café
Emiratos Árabes Unidos, Preparaciones a base de extractos- esencias o concentrados o a base de café
Eslovenia, Los demás cafés sin tostar- sin descafeinar
España, Café soluble liofilizado- con granulometría de 20 - 300 mm
España, Café tostado- descafeinado
España, Café tostado- sin descafeinar- en grano
España, Café tostado- sin descafeinar- molido
España, Extractos- esencias y concentrados de café
España, Los demás cafés sin tostar- sin descafeinar
España, Los demás extractos- esencias y concentrados de café
España, Preparaciones a base de extractos- esencias o concentrados o a base de café
Estados Unidos, Café sin tostar- descafeinado
Estados Unidos, Café sin tostar- sin descafeinar- para la siembra
Estados Unidos, Café soluble liofilizado- con granulometría de 20 - 300 mm
Estados Unidos, Café tostado- descafeinado
Estados Unidos, Café tostado- sin descafeinar- en grano
Estados Unidos, Café tostado- sin descafeinar- molido
Estados Unidos, Cáscara y cascarilla de café- sucedáneos del café que contengan café en cualquier proporción
Estados Unidos, Extractos- esencias y concentrados de café
Estados Unidos, Los demás cafés sin tostar- sin descafeinar
Estados Unidos, Los demás extractos- esencias y concentrados de café
Estados Unidos, Preparaciones a base de extractos- esencias o concentrados o a base de café
Estonia, Café soluble liofilizado- con granulometría de 20 - 300 mm
Estonia, Los demás cafés sin tostar- sin descafeinar
Filipinas, Los demás cafés sin tostar- sin descafeinar
Filipinas, Los demás extractos- esencias y concentrados de café
Finlandia, Los demás cafés sin tostar- sin descafeinar
Francia, Café soluble liofilizado- con granulometría de 20 - 300 mm
Francia, Café tostado- descafeinado
Francia, Café tostado- sin descafeinar- en grano
Francia, Café tostado- sin descafeinar- molido
Francia, Extractos- esencias y concentrados de café
Francia, Los demás cafés sin tostar- sin descafeinar
Francia, Los demás extractos- esencias y concentrados de café
Georgia, Los demás cafés sin tostar- sin descafeinar
Gibraltar, Los demás cafés sin tostar- sin descafeinar
Granada, Café soluble liofilizado- con granulometría de 20 - 300 mm
Granada, Café tostado- sin descafeinar- en grano
Granada, Extractos- esencias y concentrados de café
Granada, Los demás extractos- esencias y concentrados de café
Granada, Preparaciones a base de extractos- esencias o concentrados o a base de café
Grecia, Los demás cafés sin tostar- sin descafeinar
Guatemala, Café sin tostar- descafeinado
Guatemala, Café tostado- sin descafeinar- molido
Guatemala, Los demás extractos- esencias y concentrados de café
Guatemala, Preparaciones a base de extractos- esencias o concentrados o a base de café
Guyana, Extractos- esencias y concentrados de café
Guyana, Los demás extractos- esencias y concentrados de café
Guyana, Preparaciones a base de extractos- esencias o concentrados o a base de café
Haití, Los demás extractos- esencias y concentrados de café
Haití, Preparaciones a base de extractos- esencias o concentrados o a base de café
Honduras, Los demás extractos- esencias y concentrados de café
Honduras, Preparaciones a base de extractos- esencias o concentrados o a base de café
Hong Kong, Café sin tostar- sin descafeinar- para la siembra
Hong Kong, Café soluble liofilizado- con granulometría de 20 - 300 mm
Hong Kong, Café tostado- sin descafeinar- en grano
Hong Kong, Café tostado- sin descafeinar- molido
Hong Kong, Extractos- esencias y concentrados de café
Hong Kong, Los demás cafés sin tostar- sin descafeinar
Hong Kong, Los demás extractos- esencias y concentrados de café
India, Los demás cafés sin tostar- sin descafeinar
India, Los demás extractos- esencias y concentrados de café
India, Preparaciones a base de extractos- esencias o concentrados o a base de café
Indonesia, Los demás cafés sin tostar- sin descafeinar
Indonesia, Los demás extractos- esencias y concentrados de café
Irak, Café tostado- sin descafeinar- en grano
Irak, Café tostado- sin descafeinar- molido
Irán- República Islámica de, Los demás cafés sin tostar- sin descafeinar
Irlanda, Los demás cafés sin tostar- sin descafeinar
Islandia, Los demás cafés sin tostar- sin descafeinar
Israel, Los demás cafés sin tostar- sin descafeinar
Italia, Café soluble liofilizado- con granulometría de 20 - 300 mm
Italia, Café tostado- sin descafeinar- en grano
Italia, Café tostado- sin descafeinar- molido
Italia, Extractos- esencias y concentrados de café
Italia, Los demás cafés sin tostar- sin descafeinar
Italia, Los demás extractos- esencias y concentrados de café
Italia, Preparaciones a base de extractos- esencias o concentrados o a base de café
Japón, Café sin tostar- sin descafeinar- para la siembra
Japón, Café soluble liofilizado- con granulometría de 20 - 300 mm
Japón, Café tostado- sin descafeinar- molido
Japón, Extractos- esencias y concentrados de café
Japón, Los demás cafés sin tostar- sin descafeinar
Japón, Los demás extractos- esencias y concentrados de café
Jordania, Los demás cafés sin tostar- sin descafeinar
Kuwait, Extractos- esencias y concentrados de café
Letonia, Los demás cafés sin tostar- sin descafeinar
Líbano, Café tostado- sin descafeinar- molido
Líbano, Los demás cafés sin tostar- sin descafeinar
Libia, Los demás cafés sin tostar- sin descafeinar
Lituania, Los demás cafés sin tostar- sin descafeinar
Macao, Los demás cafés sin tostar- sin descafeinar
Malasia, Café soluble liofilizado- con granulometría de 20 - 300 mm
Malasia, Café tostado- sin descafeinar- en grano
Malasia, Café tostado- sin descafeinar- molido
Malasia, Extractos- esencias y concentrados de café
Malasia, Los demás cafés sin tostar- sin descafeinar
Malasia, Los demás extractos- esencias y concentrados de café
Malta, Café soluble liofilizado- con granulometría de 20 - 300 mm
Malta, Los demás extractos- esencias y concentrados de café
Malta, Preparaciones a base de extractos- esencias o concentrados o a base de café
Marruecos, Los demás cafés sin tostar- sin descafeinar
México, Café sin tostar- descafeinado
México, Café soluble liofilizado- con granulometría de 20 - 300 mm
México, Extractos- esencias y concentrados de café
México, Los demás cafés sin tostar- sin descafeinar
México, Los demás extractos- esencias y concentrados de café
México, Preparaciones a base de extractos- esencias o concentrados o a base de café
Nicaragua, Los demás extractos- esencias y concentrados de café
Nicaragua, Preparaciones a base de extractos- esencias o concentrados o a base de café
Nigeria, Café tostado- sin descafeinar- molido
Nigeria, Los demás extractos- esencias y concentrados de café
Nigeria, Preparaciones a base de extractos- esencias o concentrados o a base de café
Norfolk- Islas, Los demás cafés sin tostar- sin descafeinar
Noruega, Café tostado- sin descafeinar- en grano
Noruega, Café tostado- sin descafeinar- molido
Noruega, Los demás cafés sin tostar- sin descafeinar
Nueva Zelandia, Café soluble liofilizado- con granulometría de 20 - 300 mm
Nueva Zelandia, Los demás cafés sin tostar- sin descafeinar
Nueva Zelandia, Los demás extractos- esencias y concentrados de café
Países Bajos, Café tostado- sin descafeinar- en grano
Países Bajos, Café tostado- sin descafeinar- molido
Países Bajos, Cáscara y cascarilla de café- sucedáneos del café que contengan café en cualquier proporción
Países Bajos, Los demás cafés sin tostar- sin descafeinar
Países Bajos, Los demás extractos- esencias y concentrados de café
Países Bajos, Preparaciones a base de extractos- esencias o concentrados o a base de café
Panamá, Café sin tostar- descafeinado
Panamá, Café soluble liofilizado- con granulometría de 20 - 300 mm
Panamá, Café tostado- sin descafeinar- molido
Panamá, Extractos- esencias y concentrados de café
Panamá, Los demás extractos- esencias y concentrados de café
Panamá, Preparaciones a base de extractos- esencias o concentrados o a base de café
Paraguay, Café soluble liofilizado- con granulometría de 20 - 300 mm
Paraguay, Los demás extractos- esencias y concentrados de café
Paraguay, Preparaciones a base de extractos- esencias o concentrados o a base de café
Perú, Café sin tostar- descafeinado
Perú, Café soluble liofilizado- con granulometría de 20 - 300 mm
Perú, Café tostado- sin descafeinar- molido
Perú, Extractos- esencias y concentrados de café
Perú, Los demás extractos- esencias y concentrados de café
Perú, Preparaciones a base de extractos- esencias o concentrados o a base de café
Polonia, Los demás cafés sin tostar- sin descafeinar
Polonia, Los demás extractos- esencias y concentrados de café
Portugal, Café tostado- sin descafeinar- en grano
Portugal, Los demás cafés sin tostar- sin descafeinar
Portugal, Los demás extractos- esencias y concentrados de café
Puerto Rico, Café tostado- sin descafeinar- molido
Puerto Rico, Extractos- esencias y concentrados de café
Puerto Rico, Los demás extractos- esencias y concentrados de café
Puerto Rico, Preparaciones a base de extractos- esencias o concentrados o a base de café
Reino Unido, Café soluble liofilizado- con granulometría de 20 - 300 mm
Reino Unido, Café tostado- sin descafeinar- en grano
Reino Unido, Café tostado- sin descafeinar- molido
Reino Unido, Extractos- esencias y concentrados de café
Reino Unido, Los demás cafés sin tostar- sin descafeinar
Reino Unido, Los demás extractos- esencias y concentrados de café
República Checa, Los demás cafés sin tostar- sin descafeinar
República Dominicana, Café tostado- sin descafeinar- molido
República Dominicana, Los demás cafés sin tostar- sin descafeinar
República Dominicana, Los demás extractos- esencias y concentrados de café
República Dominicana, Preparaciones a base de extractos- esencias o concentrados o a base de café
Rumania, Los demás cafés sin tostar- sin descafeinar
Rusia- Federación de, Café tostado- sin descafeinar- en grano
Rusia- Federación de, Los demás cafés sin tostar- sin descafeinar
San Cristóbal y Nieves, Café tostado- sin descafeinar- en grano
San Cristóbal y Nieves, Los demás extractos- esencias y concentrados de café
San Cristóbal y Nieves, Preparaciones a base de extractos- esencias o concentrados o a base de café
San Vicente y las Granadinas, Café tostado- sin descafeinar- molido
San Vicente y las Granadinas, Extractos- esencias y concentrados de café
San Vicente y las Granadinas, Los demás extractos- esencias y concentrados de café
San Vicente y las Granadinas, Preparaciones a base de extractos- esencias o concentrados o a base de café
Santa Lucia, Café soluble liofilizado- con granulometría de 20 - 300 mm
Santa Lucia, Café tostado- sin descafeinar- en grano
Santa Lucia, Café tostado- sin descafeinar- molido
Santa Lucia, Extractos- esencias y concentrados de café
Santa Lucia, Los demás extractos- esencias y concentrados de café
Santa Lucia, Preparaciones a base de extractos- esencias o concentrados o a base de café
Singapur, Café soluble liofilizado- con granulometría de 20 - 300 mm
Singapur, Café tostado- sin descafeinar- en grano
Singapur, Café tostado- sin descafeinar- molido
Singapur, Extractos- esencias y concentrados de café
Singapur, Los demás cafés sin tostar- sin descafeinar
Singapur, Los demás extractos- esencias y concentrados de café
Siria- República Árabe, Café sin tostar- descafeinado
Siria- República Árabe, Los demás cafés sin tostar- sin descafeinar
Sudáfrica, Los demás cafés sin tostar- sin descafeinar
Sudáfrica, Los demás extractos- esencias y concentrados de café
Sudáfrica, Preparaciones a base de extractos- esencias o concentrados o a base de café
Suecia, Café tostado- descafeinado
Suecia, Café tostado- sin descafeinar- en grano
Suecia, Café tostado- sin descafeinar- molido
Suecia, Extractos- esencias y concentrados de café
Suecia, Los demás cafés sin tostar- sin descafeinar
Suecia, Los demás extractos- esencias y concentrados de café
Suecia, Preparaciones a base de extractos- esencias o concentrados o a base de café
Suiza, Café soluble liofilizado- con granulometría de 20 - 300 mm
Suiza, Extractos- esencias y concentrados de café
Suiza, Los demás cafés sin tostar- sin descafeinar
Suiza, Los demás extractos- esencias y concentrados de café
Surinam, Café soluble liofilizado- con granulometría de 20 - 300 mm
Surinam, Café tostado- sin descafeinar- molido
Surinam, Extractos- esencias y concentrados de café
Surinam, Los demás extractos- esencias y concentrados de café
Surinam, Preparaciones a base de extractos- esencias o concentrados o a base de café
Tailandia, Los demás cafés sin tostar- sin descafeinar
Tailandia, Los demás extractos- esencias y concentrados de café
Taiwán- Provincia de China, Los demás cafés sin tostar- sin descafeinar
Taiwán- Provincia de China, Los demás extractos- esencias y concentrados de café
Taiwán- Provincia de China, Preparaciones a base de extractos- esencias o concentrados o a base de café
Territorio Británico del Océano indico, Los demás extractos- esencias y concentrados de café
Trinidad y Tobago, Café soluble liofilizado- con granulometría de 20 - 300 mm
Trinidad y Tobago, Extractos- esencias y concentrados de café
Trinidad y Tobago, Los demás extractos- esencias y concentrados de café
Trinidad y Tobago, Preparaciones a base de extractos- esencias o concentrados o a base de café
Turquía, Extractos- esencias y concentrados de café
Turquía, Los demás cafés sin tostar- sin descafeinar
Turquía, Los demás extractos- esencias y concentrados de café
Ucrania, Café soluble liofilizado- con granulometría de 20 - 300 mm
Ucrania, Café tostado- sin descafeinar- en grano
Ucrania, Los demás cafés sin tostar- sin descafeinar
Uruguay, Café soluble liofilizado- con granulometría de 20 - 300 mm
Uruguay, Café tostado- sin descafeinar- en grano
Uruguay, Los demás extractos- esencias y concentrados de café
Uruguay, Preparaciones a base de extractos- esencias o concentrados o a base de café
Venezuela, Café tostado- sin descafeinar- molido
Venezuela, Extractos- esencias y concentrados de café
Venezuela, Los demás extractos- esencias y concentrados de café
Venezuela, Preparaciones a base de extractos- esencias o concentrados o a base de café
ZFP Barranquilla, Café tostado- sin descafeinar- molido
ZFP Bogotá, Café tostado- sin descafeinar- en grano
ZFP Bogotá, Café tostado- sin descafeinar- molido
ZFP Candelaria, Café tostado- sin descafeinar- en grano
ZFP Cartagena, Café tostado- sin descafeinar- en grano
ZFP Cartagena, Café tostado- sin descafeinar- molido
ZFP Cucuta, Café tostado- sin descafeinar- molido
ZFP Cucuta, Extractos- esencias y concentrados de café
ZFP Cucuta, Preparaciones a base de extractos- esencias o concentrados o a base de café
