name,parent
Colombia,null
Antioquia,Colombia
Bogotá,Colombia
Caldas,Colombia
Cauca,Colombia
Huila,Colombia
Quindío,Colombia
Risaralda,Colombia
Santander,Colombia
Tolima,Colombia
Valle del Cauca,Colombia
Alemania,Antioquia
Antigua y Barbuda,Antioquia
Antillas Holandesas,Antioquia
Arabia Saudita,Antioquia
Argentina,Antioquia
Aruba,Antioquia
Australia,Antioquia
Austria,Antioquia
Bahrein,Antioquia
Barbados,Antioquia
Bélgica,Antioquia
Belice,Antioquia
Bolivia,Antioquia
Brasil,Antioquia
Bulgaria,Antioquia
Caimán- Islas,Antioquia
Canadá,Antioquia
Chile,Antioquia
China,Antioquia
Colombia,Antioquia
Corea,Antioquia
Costa de Marfil,Antioquia
Costa Rica,Antioquia
Croacia,Antioquia
Cuba,Antioquia
Curazao,Antioquia
Dinamarca,Antioquia
Dominica,Antioquia
Ecuador,Antioquia
Egipto,Antioquia
El Salvador,Antioquia
Emiratos Árabes Unidos,Antioquia
Eslovenia,Antioquia
España,Antioquia
Estados Unidos,Antioquia
Estonia,Antioquia
Filipinas,Antioquia
Finlandia,Antioquia
Francia,Antioquia
Georgia,Antioquia
Gibraltar,Antioquia
Granada,Antioquia
Grecia,Antioquia
Guatemala,Antioquia
Guyana,Antioquia
Haití,Antioquia
Honduras,Antioquia
Hong Kong,Antioquia
India,Antioquia
Indonesia,Antioquia
Irak,Antioquia
Irán- República Islámica de,Antioquia
Irlanda,Antioquia
Islandia,Antioquia
Israel,Antioquia
Italia,Antioquia
Japón,Antioquia
Jordania,Antioquia
Kuwait,Antioquia
Letonia,Antioquia
Líbano,Antioquia
Libia,Antioquia
Lituania,Antioquia
Macao,Antioquia
Malasia,Antioquia
Malta,Antioquia
Marruecos,Antioquia
México,Antioquia
Nicaragua,Antioquia
Nigeria,Antioquia
Norfolk- Islas,Antioquia
Noruega,Antioquia
Nueva Zelandia,Antioquia
Países Bajos,Antioquia
Panamá,Antioquia
Paraguay,Antioquia
Perú,Antioquia
Polonia,Antioquia
Portugal,Antioquia
Puerto Rico,Antioquia
Reino Unido,Antioquia
República Checa,Antioquia
República Dominicana,Antioquia
Rumania,Antioquia
Rusia- Federación de,Antioquia
San Cristóbal y Nieves,Antioquia
San Vicente y las Granadinas,Antioquia
Santa Lucia,Antioquia
Singapur,Antioquia
Siria- República Árabe,Antioquia
Sudáfrica,Antioquia
Suecia,Antioquia
Suiza,Antioquia
Surinam,Antioquia
Tailandia,Antioquia
Taiwán- Provincia de China,Antioquia
Territorio Británico del Océano indico,Antioquia
Trinidad y Tobago,Antioquia
Turquía,Antioquia
Ucrania,Antioquia
Uruguay,Antioquia
Venezuela,Antioquia
